r0,g0,b0,r1,g1,b1,r2,g2,b2,r3,g3,b3,r4,g4,b4,r5,g5,b5,r6,g6,b6,r7,g7,b7,r8,g8,b8,cluster
0.107685,0.142882,0.228262,0.13309,0.16683,0.253143,0.192569,0.225815,0.316142,0.114252,0.148719,0.234894,0.140721,0.174088,0.261378,0.176606,0.208473,0.294332,0.121676,0.156707,0.24492,0.145786,0.178291,0.264693,0.182471,0.215406,0.3043,cluster2
0.102529,0.134902,0.226281,0.112293,0.148057,0.236457,0.15704,0.189715,0.277432,0.102056,0.134245,0.226293,0.112797,0.14841,0.236766,0.151166,0.186789,0.275974,0.102575,0.135893,0.227433,0.115163,0.149764,0.238225,0.1475,0.182993,0.273026,cluster2
0.097944,0.128471,0.21915,0.114025,0.14752,0.23798,0.122914,0.156434,0.246991,0.096606,0.12815,0.21849,0.115331,0.147257,0.23572,0.125096,0.156881,0.245569,0.098537,0.129105,0.218604,0.114998,0.14561,0.232776,0.125641,0.157005,0.244772,cluster2
0.102772,0.126576,0.215839,0.099569,0.114034,0.206019,0.15635,0.15679,0.234776,0.101321,0.125878,0.215611,0.099416,0.113726,0.205602,0.161636,0.16141,0.23799,0.100568,0.125314,0.215787,0.099304,0.113688,0.205107,0.165759,0.165675,0.240265,cluster2
0.099437,0.126927,0.22057,0.098059,0.129363,0.219493,0.107084,0.13773,0.222823,0.098535,0.128173,0.222307,0.098074,0.131364,0.222692,0.105531,0.137619,0.225547,0.098902,0.129282,0.224068,0.098969,0.132661,0.225109,0.109832,0.141017,0.228769,cluster2
0.095699,0.10635,0.191102,0.094763,0.11009,0.199767,0.095052,0.114739,0.208642,0.095202,0.106809,0.191915,0.094769,0.110135,0.20249,0.095007,0.114645,0.210962,0.095287,0.108569,0.195325,0.094835,0.111625,0.206932,0.095635,0.115444,0.213794,cluster2
0.095848,0.096783,0.163265,0.091014,0.097196,0.159544,0.09106,0.101427,0.163801,0.10415,0.105119,0.175501,0.096978,0.103624,0.1705,0.09093,0.102793,0.165826,0.099043,0.099078,0.169306,0.096416,0.102599,0.171205,0.091442,0.1049,0.170682,cluster2
0.102696,0.128369,0.168216,0.101198,0.128259,0.164301,0.11187,0.141425,0.170714,0.102013,0.13021,0.167096,0.099264,0.126164,0.162547,0.10466,0.134262,0.166374,0.10891,0.139481,0.172619,0.10412,0.132763,0.166961,0.108941,0.137978,0.170464,cluster2
0.122456,0.152671,0.17851,0.141222,0.170687,0.187472,0.157093,0.182889,0.192366,0.112387,0.142973,0.172711,0.129076,0.160321,0.181335,0.144479,0.172663,0.185696,0.114779,0.143052,0.174558,0.125853,0.156662,0.181512,0.135727,0.165534,0.180465,cluster2
0.126409,0.137336,0.17031,0.149895,0.162676,0.201448,0.223344,0.235954,0.270675,0.103431,0.116596,0.159098,0.139967,0.154409,0.209981,0.126971,0.139291,0.182602,0.081767,0.0909,0.127491,0.086353,0.096398,0.136655,0.093797,0.103123,0.140798,cluster2
0.131301,0.142201,0.21986,0.162089,0.158168,0.234556,0.172056,0.164221,0.240112,0.125014,0.137874,0.21493,0.159171,0.155452,0.231688,0.168139,0.160951,0.236046,0.125921,0.139107,0.21504,0.157138,0.155133,0.230165,0.165609,0.159531,0.233942,cluster2
0.209481,0.223152,0.225789,0.182421,0.19878,0.205911,0.170658,0.186221,0.197096,0.193302,0.207849,0.215197,0.172741,0.189358,0.196607,0.167865,0.182331,0.19076,0.182312,0.198103,0.21001,0.156824,0.175323,0.187001,0.160989,0.175437,0.185023,cluster2
0.189374,0.22748,0.21472,0.184468,0.225406,0.209438,0.184927,0.228182,0.210302,0.195919,0.232052,0.222888,0.188987,0.227063,0.216354,0.185651,0.225758,0.214345,0.205805,0.240343,0.235505,0.201272,0.238098,0.231101,0.198099,0.236422,0.22763,cluster2
0.218573,0.238426,0.256095,0.1871,0.209675,0.229981,0.166748,0.191528,0.210998,0.224161,0.242407,0.259722,0.191811,0.213825,0.233934,0.144757,0.170213,0.186404,0.220381,0.239241,0.257082,0.197196,0.218611,0.236606,0.162273,0.188515,0.207814,cluster2
0.275029,0.274095,0.311364,0.204184,0.212439,0.259839,0.16067,0.171291,0.222298,0.227037,0.231466,0.273741,0.168769,0.183333,0.232895,0.140125,0.156119,0.210622,0.201987,0.210591,0.25415,0.156243,0.168935,0.221626,0.129798,0.145736,0.203258,cluster2
0.249445,0.256284,0.30554,0.142711,0.155138,0.239474,0.097245,0.114815,0.210858,0.240448,0.247623,0.298602,0.138036,0.15009,0.235165,0.095899,0.113201,0.208348,0.231526,0.238212,0.29118,0.133372,0.145461,0.230519,0.0955,0.112827,0.206769,cluster2
0.289637,0.329869,0.417815,0.166159,0.198776,0.290153,0.106696,0.128921,0.223924,0.277893,0.318153,0.40675,0.153927,0.185216,0.276105,0.102283,0.127208,0.222441,0.252062,0.292209,0.379943,0.148981,0.180184,0.270211,0.100923,0.12764,0.222084,cluster2
0.582832,0.589475,0.620953,0.153021,0.157935,0.197429,0.158123,0.163878,0.213655,0.475852,0.483639,0.518593,0.155073,0.160799,0.203754,0.16511,0.171992,0.228438,0.226587,0.236339,0.278931,0.193689,0.196735,0.247953,0.145904,0.155316,0.208864,cluster2
0.346951,0.359535,0.421753,0.178793,0.17878,0.228212,0.154521,0.155841,0.205679,0.605332,0.619772,0.676337,0.127376,0.131266,0.166866,0.156203,0.161376,0.21232,0.694011,0.709293,0.761578,0.160935,0.165366,0.200591,0.184797,0.190027,0.239996,cluster3
0.567276,0.504767,0.513656,0.429366,0.366573,0.381159,0.165612,0.144643,0.155795,0.514452,0.454765,0.465464,0.405522,0.348586,0.365753,0.150536,0.133589,0.145479,0.526575,0.474302,0.487837,0.378908,0.327236,0.345482,0.172058,0.152616,0.16521,cluster3
0.134301,0.172572,0.262846,0.122078,0.157742,0.2457,0.149288,0.181044,0.273808,0.13477,0.174041,0.264537,0.123363,0.158722,0.247162,0.150711,0.182622,0.273697,0.133097,0.173116,0.264112,0.122895,0.157578,0.247976,0.149917,0.18166,0.273551,cluster2
0.116374,0.149554,0.239134,0.128996,0.163767,0.254226,0.128281,0.163557,0.255342,0.113621,0.147224,0.236841,0.126407,0.162011,0.252455,0.126548,0.160876,0.253125,0.108571,0.143068,0.232313,0.122946,0.158897,0.24837,0.125424,0.160244,0.252126,cluster2
0.124481,0.151117,0.231905,0.124697,0.151378,0.232253,0.121544,0.147515,0.227198,0.116576,0.143457,0.22103,0.113021,0.138814,0.215506,0.111459,0.135206,0.210109,0.110431,0.136338,0.212047,0.104804,0.129472,0.203499,0.10649,0.126637,0.199046,cluster2
0.114019,0.141519,0.231762,0.116752,0.143995,0.23257,0.115305,0.143938,0.23093,0.115303,0.144121,0.23309,0.115983,0.145289,0.232822,0.113913,0.144549,0.229869,0.112838,0.142055,0.229026,0.111967,0.142434,0.227464,0.109705,0.141579,0.223901,cluster2
0.094753,0.113303,0.219889,0.094422,0.116794,0.221885,0.094814,0.12199,0.222762,0.094496,0.112607,0.21998,0.094228,0.116209,0.221414,0.094445,0.121364,0.2222,0.094363,0.111745,0.219856,0.094207,0.115347,0.221006,0.094677,0.120654,0.222458,cluster2
0.125228,0.139052,0.227781,0.099793,0.111348,0.200825,0.09696,0.106413,0.195744,0.123056,0.137246,0.224898,0.099509,0.111089,0.199889,0.097755,0.10738,0.197731,0.121686,0.135788,0.22333,0.09988,0.112027,0.200611,0.099412,0.109205,0.200689,cluster2
0.122029,0.150009,0.188019,0.112571,0.143438,0.180678,0.107747,0.139213,0.174069,0.126703,0.153855,0.190476,0.117038,0.148186,0.18336,0.10762,0.141138,0.174476,0.134688,0.157941,0.194381,0.122624,0.151195,0.184205,0.113934,0.146841,0.177929,cluster2
0.099676,0.122296,0.16151,0.104158,0.127114,0.170817,0.101864,0.122913,0.163271,0.112732,0.135146,0.173627,0.115756,0.138789,0.180041,0.112661,0.133582,0.172751,0.174224,0.190276,0.220374,0.171169,0.189123,0.22017,0.165609,0.182495,0.212723,cluster2
0.142882,0.159994,0.173968,0.162774,0.175496,0.183087,0.175865,0.190543,0.188262,0.151731,0.168763,0.177622,0.174297,0.186422,0.185618,0.183111,0.197892,0.191401,0.163612,0.180347,0.182224,0.180083,0.19378,0.191273,0.188548,0.203267,0.195699,cluster2
0.158244,0.205892,0.203484,0.162762,0.210493,0.203036,0.163794,0.213161,0.20075,0.161899,0.209612,0.202055,0.163306,0.212403,0.201098,0.168158,0.218363,0.200692,0.166372,0.213272,0.202499,0.166,0.214904,0.199485,0.167483,0.217484,0.198501,cluster2
0.221802,0.216716,0.268427,0.23005,0.22632,0.278185,0.220908,0.216805,0.267378,0.195909,0.202493,0.260765,0.209794,0.215845,0.275029,0.207883,0.213241,0.267095,0.085463,0.092972,0.124873,0.076617,0.084007,0.113217,0.089811,0.097226,0.129943,cluster2
0.170633,0.16802,0.238889,0.17848,0.171152,0.241738,0.184644,0.172987,0.241157,0.169848,0.166398,0.236709,0.176892,0.16862,0.238747,0.185068,0.170735,0.238253,0.179465,0.169073,0.235999,0.189855,0.171335,0.236977,0.204641,0.176727,0.237913,cluster2
0.244478,0.255044,0.226715,0.235921,0.248189,0.217776,0.236049,0.248153,0.218412,0.228908,0.240025,0.217141,0.220299,0.232333,0.208073,0.225398,0.23698,0.213848,0.218656,0.230494,0.212159,0.216347,0.227156,0.208689,0.226354,0.236511,0.216877,cluster2
0.193105,0.194463,0.225686,0.192797,0.196101,0.229718,0.172569,0.177131,0.210663,0.264525,0.263999,0.296009,0.239622,0.242014,0.277651,0.231137,0.23392,0.271428,0.186595,0.191345,0.226334,0.18829,0.193589,0.232191,0.188021,0.193721,0.230723,cluster2
0.466167,0.466437,0.513833,0.176934,0.181649,0.21785,0.184234,0.194197,0.241341,0.144331,0.149349,0.185034,0.170458,0.180244,0.2304,0.163609,0.178096,0.232041,0.173614,0.186173,0.245019,0.174843,0.189418,0.251257,0.178658,0.195064,0.256038,cluster2
0.267209,0.269994,0.319704,0.19595,0.205377,0.273277,0.123506,0.137254,0.223985,0.267881,0.270867,0.319647,0.189622,0.199313,0.268441,0.119383,0.13383,0.220831,0.267402,0.270342,0.318288,0.185626,0.194336,0.265034,0.118446,0.132541,0.219907,cluster2
0.315614,0.304146,0.337179,0.218359,0.217411,0.25861,0.180353,0.186934,0.229624,0.325071,0.316276,0.349291,0.205644,0.206501,0.249023,0.171495,0.176265,0.221349,0.353297,0.344051,0.376505,0.197142,0.200032,0.242141,0.161819,0.167824,0.210936,cluster2
0.341834,0.370713,0.421692,0.204474,0.237173,0.290625,0.167924,0.195682,0.249433,0.349754,0.379056,0.431223,0.203021,0.236009,0.289011,0.165321,0.192845,0.247531,0.322438,0.351665,0.403381,0.209957,0.242164,0.294437,0.165694,0.194473,0.248121,cluster2
0.446842,0.430175,0.453254,0.258493,0.250097,0.280809,0.219278,0.213189,0.243772,0.436249,0.418776,0.439652,0.289251,0.276041,0.305103,0.245353,0.234718,0.263002,0.398957,0.380067,0.401276,0.279504,0.267343,0.296692,0.2535,0.246064,0.272709,cluster3
0.408784,0.450094,0.686621,0.339058,0.369881,0.560668,0.244624,0.254342,0.347657,0.422316,0.469208,0.725921,0.332903,0.361483,0.539761,0.227276,0.230578,0.29345,0.4031,0.446623,0.689077,0.293156,0.316261,0.45714,0.217087,0.218924,0.278698,cluster3
0.170368,0.206635,0.298873,0.121561,0.155628,0.248176,0.115794,0.149398,0.241097,0.165774,0.203078,0.294936,0.117133,0.151598,0.243813,0.115638,0.148828,0.240235,0.155175,0.193102,0.284246,0.115799,0.149642,0.241986,0.116023,0.147594,0.238768,cluster2
0.140823,0.174808,0.262344,0.138887,0.172523,0.261049,0.121652,0.154789,0.238906,0.137412,0.172144,0.260089,0.136793,0.170034,0.25883,0.120756,0.153603,0.236452,0.134727,0.169994,0.257398,0.134886,0.168497,0.256636,0.121008,0.154312,0.237376,cluster2
0.12143,0.159224,0.251317,0.134102,0.174579,0.267741,0.138602,0.179244,0.269533,0.120997,0.159856,0.251138,0.130536,0.171457,0.265537,0.134409,0.175131,0.267721,0.120497,0.160542,0.251032,0.128576,0.170238,0.264208,0.130873,0.17134,0.264627,cluster2
0.136232,0.157441,0.243329,0.12234,0.145617,0.229032,0.119121,0.141665,0.224685,0.133958,0.155932,0.240803,0.123785,0.14727,0.231507,0.119296,0.143382,0.226897,0.132631,0.153851,0.237587,0.12951,0.149866,0.233502,0.127329,0.14842,0.230604,cluster2
0.140123,0.165902,0.257289,0.099159,0.125579,0.223512,0.095941,0.118496,0.219042,0.135473,0.15988,0.252176,0.097932,0.124205,0.222326,0.09605,0.118835,0.217823,0.131944,0.155076,0.246926,0.097299,0.122123,0.219668,0.095875,0.118674,0.215071,cluster2
0.182725,0.196994,0.272547,0.11652,0.133296,0.223104,0.096128,0.115375,0.207081,0.176549,0.191207,0.268069,0.112937,0.131466,0.221505,0.09578,0.115243,0.207986,0.172242,0.18758,0.265788,0.111467,0.130576,0.220612,0.09666,0.115875,0.209654,cluster2
0.154068,0.173139,0.213096,0.114447,0.129261,0.174667,0.106294,0.122677,0.166894,0.183648,0.199825,0.241483,0.123928,0.138023,0.184186,0.113913,0.126873,0.175726,0.17349,0.187653,0.224463,0.120476,0.136048,0.178936,0.118943,0.132471,0.177096,cluster2
0.130104,0.156488,0.19707,0.128692,0.154153,0.193659,0.130907,0.156285,0.195234,0.141154,0.159571,0.20019,0.136097,0.157835,0.194855,0.139027,0.16222,0.193811,0.174169,0.176593,0.211911,0.175486,0.17704,0.206697,0.174874,0.178205,0.20388,cluster2
0.11877,0.144599,0.194671,0.12667,0.151727,0.197364,0.158855,0.185278,0.218769,0.120769,0.147275,0.196577,0.127968,0.154004,0.19826,0.170878,0.196367,0.225759,0.124495,0.15156,0.200249,0.138357,0.164843,0.204875,0.205221,0.220662,0.239818,cluster2
0.099047,0.112945,0.196679,0.131273,0.136404,0.209853,0.222095,0.221087,0.268231,0.101206,0.114296,0.199513,0.148304,0.152148,0.227194,0.239748,0.238368,0.286837,0.103386,0.115921,0.200052,0.139995,0.143443,0.215167,0.226044,0.225279,0.271269,cluster2
0.210292,0.219913,0.267304,0.16297,0.17061,0.22031,0.435569,0.445633,0.511325,0.138173,0.150012,0.203716,0.15827,0.171144,0.230793,0.122692,0.131329,0.169985,0.135758,0.15105,0.213143,0.144292,0.159655,0.222018,0.128547,0.143885,0.200169,cluster2
0.215511,0.213464,0.249554,0.255636,0.246272,0.275842,0.270791,0.257636,0.283309,0.188355,0.193208,0.23432,0.205607,0.208807,0.245655,0.228935,0.226511,0.258698,0.17402,0.182116,0.223807,0.189947,0.19676,0.236181,0.196794,0.200889,0.235881,cluster2
0.198717,0.228083,0.205849,0.210304,0.239178,0.214827,0.236654,0.261546,0.236778,0.201796,0.229293,0.210662,0.21897,0.245854,0.222315,0.246112,0.270636,0.242796,0.223765,0.248965,0.226069,0.244033,0.268713,0.239905,0.275256,0.293458,0.266318,cluster2
0.220782,0.252177,0.255761,0.207738,0.241162,0.249788,0.199816,0.233315,0.241594,0.227054,0.257966,0.260954,0.211188,0.244867,0.25304,0.202252,0.236465,0.245671,0.242209,0.265207,0.269987,0.221114,0.249987,0.258675,0.207401,0.23956,0.248269,cluster2
0.280539,0.276799,0.292557,0.24643,0.251962,0.274358,0.223922,0.23331,0.26053,0.244549,0.244277,0.265646,0.217742,0.223602,0.252739,0.186071,0.199668,0.232301,0.24354,0.248062,0.27554,0.188805,0.197376,0.228247,0.178496,0.190714,0.224425,cluster2
0.273703,0.274583,0.299198,0.239066,0.242856,0.273891,0.184991,0.19415,0.239162,0.28412,0.280576,0.305289,0.243887,0.246646,0.279758,0.179833,0.188873,0.234926,0.292726,0.289119,0.31352,0.253375,0.255344,0.286909,0.186256,0.193701,0.238218,cluster2
0.298226,0.313179,0.332995,0.241145,0.267249,0.287146,0.205226,0.236786,0.259126,0.329931,0.339717,0.362097,0.235613,0.261516,0.282699,0.195332,0.22725,0.248679,0.316235,0.32534,0.348417,0.238201,0.261259,0.283521,0.195409,0.225359,0.247097,cluster2
0.33945,0.345965,0.368227,0.249848,0.269441,0.299443,0.205563,0.232436,0.26345,0.349199,0.353296,0.374608,0.250996,0.271126,0.301234,0.209333,0.236368,0.265161,0.346817,0.349613,0.371249,0.258175,0.275418,0.304135,0.214997,0.241899,0.269638,cluster2
0.357238,0.364379,0.386828,0.260738,0.281068,0.305185,0.213092,0.240413,0.267634,0.325879,0.336328,0.358909,0.241683,0.266404,0.294226,0.207063,0.236991,0.264415,0.315688,0.330437,0.355506,0.232211,0.259994,0.29038,0.205522,0.237639,0.26759,cluster2
0.409534,0.415152,0.508483,0.306224,0.316547,0.399862,0.236631,0.244497,0.293479,0.36692,0.37435,0.456875,0.266774,0.277925,0.330545,0.212607,0.227366,0.276227,0.269693,0.276971,0.328107,0.232339,0.245252,0.296846,0.2002,0.216643,0.266955,cluster3
0.151994,0.188077,0.279583,0.152599,0.185998,0.279477,0.125573,0.158308,0.248361,0.153192,0.189077,0.279699,0.151515,0.185261,0.277837,0.123741,0.156372,0.245562,0.154211,0.189009,0.279389,0.149803,0.183285,0.274846,0.123496,0.156567,0.244617,cluster2
0.142188,0.180435,0.275107,0.138977,0.179025,0.276413,0.139455,0.174742,0.269695,0.139855,0.178475,0.27274,0.137875,0.177573,0.275949,0.137184,0.172624,0.267627,0.139074,0.176746,0.270853,0.136377,0.176416,0.274909,0.13429,0.169797,0.26354,cluster2
0.120605,0.155044,0.239635,0.160192,0.189457,0.276854,0.150181,0.179539,0.267405,0.123577,0.158031,0.244495,0.161871,0.191033,0.277956,0.148047,0.177377,0.265497,0.128682,0.162355,0.249865,0.159574,0.18794,0.274763,0.145705,0.17452,0.263141,cluster2
0.120173,0.157649,0.24973,0.132214,0.173055,0.268749,0.135891,0.175274,0.269207,0.12395,0.160659,0.253348,0.133784,0.175083,0.270173,0.13468,0.175066,0.268511,0.130402,0.167504,0.260891,0.142854,0.185037,0.28142,0.138197,0.179043,0.27356,cluster2
0.142618,0.168626,0.252745,0.124811,0.149218,0.235907,0.111953,0.13708,0.221068,0.147627,0.172499,0.257669,0.128094,0.152099,0.237914,0.113503,0.137709,0.222878,0.157662,0.181154,0.267455,0.130165,0.154754,0.240296,0.118713,0.142501,0.227646,cluster2
0.181448,0.194156,0.270754,0.174668,0.184276,0.263136,0.075665,0.078894,0.118955,0.177739,0.189541,0.265323,0.172037,0.181482,0.26174,0.078324,0.082274,0.124909,0.188301,0.199,0.271259,0.163499,0.17216,0.248531,0.075682,0.079988,0.121435,cluster2
0.178717,0.198148,0.222229,0.141703,0.164884,0.196538,0.12439,0.143136,0.177904,0.188047,0.20549,0.226315,0.157184,0.177558,0.206574,0.132568,0.151826,0.185036,0.186154,0.201234,0.223231,0.16126,0.180179,0.207766,0.151698,0.168775,0.199706,cluster2
0.167133,0.201296,0.192008,0.186593,0.220734,0.204964,0.211611,0.242336,0.220675,0.167355,0.201151,0.190757,0.185107,0.219228,0.20226,0.20904,0.24106,0.219284,0.170331,0.205417,0.194365,0.186996,0.219583,0.201841,0.212789,0.243576,0.221502,cluster2
0.070203,0.077072,0.120791,0.186996,0.198955,0.271421,0.220839,0.233094,0.2961,0.073374,0.081002,0.125287,0.189725,0.202749,0.27663,0.220079,0.232425,0.2976,0.094815,0.103492,0.152147,0.186367,0.199721,0.271102,0.216716,0.228911,0.293496,cluster2
0.105549,0.133675,0.217509,0.127743,0.149697,0.226696,0.376735,0.345434,0.382214,0.105058,0.134106,0.219104,0.114677,0.141107,0.223249,0.365395,0.338278,0.378492,0.107787,0.137373,0.220196,0.11312,0.139288,0.221479,0.323714,0.30958,0.359593,cluster2
0.156822,0.164103,0.236739,0.220192,0.225081,0.284311,0.267336,0.269817,0.316156,0.139104,0.144918,0.211072,0.216159,0.220662,0.278156,0.255107,0.258418,0.303713,0.115825,0.120224,0.176684,0.209874,0.214939,0.270288,0.249139,0.252796,0.298019,cluster2
0.214181,0.235829,0.233787,0.236547,0.247991,0.242235,0.28307,0.283531,0.275311,0.200847,0.226433,0.225431,0.222801,0.2405,0.237525,0.270925,0.274822,0.26974,0.195834,0.220515,0.218552,0.219221,0.238745,0.236235,0.256091,0.263704,0.259409,cluster2
0.274808,0.287007,0.24364,0.268343,0.280398,0.237776,0.25555,0.271201,0.229178,0.272375,0.283806,0.24223,0.260609,0.273366,0.23192,0.251107,0.265969,0.226966,0.270368,0.280704,0.244689,0.258045,0.270025,0.235571,0.249562,0.264317,0.231294,cluster2
0.223538,0.261504,0.272199,0.216536,0.255183,0.268328,0.217939,0.256551,0.273103,0.224726,0.262812,0.273488,0.216003,0.255058,0.268936,0.219746,0.259088,0.273252,0.227712,0.264186,0.27351,0.216579,0.255691,0.266312,0.224756,0.262582,0.274956,cluster2
0.259134,0.279469,0.322566,0.231032,0.25486,0.299856,0.204013,0.229692,0.276887,0.256482,0.27709,0.321767,0.227022,0.252024,0.297653,0.199679,0.22543,0.273504,0.256352,0.277048,0.321982,0.228023,0.253001,0.297868,0.199027,0.224211,0.271719,cluster2
0.308095,0.270793,0.313432,0.302958,0.265404,0.310865,0.126737,0.123577,0.176148,0.305256,0.268535,0.311174,0.296843,0.260229,0.306085,0.115227,0.112926,0.163013,0.303162,0.266704,0.308566,0.290791,0.255472,0.302654,0.117633,0.113076,0.162531,cluster2
0.297058,0.296935,0.326097,0.269103,0.276342,0.311196,0.217776,0.23313,0.276029,0.279935,0.281973,0.314224,0.246791,0.254733,0.292432,0.194444,0.210113,0.258297,0.268265,0.272679,0.304048,0.236861,0.247489,0.285153,0.181705,0.199807,0.252992,cluster2
0.34767,0.337845,0.359726,0.281085,0.283028,0.306993,0.236588,0.247325,0.279393,0.315648,0.312233,0.335228,0.242415,0.253561,0.282354,0.208162,0.226206,0.261478,0.280718,0.285501,0.314172,0.211545,0.229473,0.264168,0.190563,0.21053,0.249104,cluster2
0.413973,0.389268,0.421462,0.339839,0.327307,0.364282,0.22836,0.231585,0.270878,0.325331,0.311303,0.348385,0.268719,0.269915,0.313664,0.205842,0.218336,0.262244,0.223124,0.22684,0.271447,0.190079,0.202406,0.252319,0.171243,0.187553,0.235297,cluster2
